"","upper.mb","lower.mb","upper.pw","lower.pw","est","sd","type","delta","rate","lower.emp","upper.emp"
"1",2.07540053335332,1.83631602858326,2.06238328574568,1.8493332761909,1.86252458413812,0.00249036471227207,"PI",1,2,1.85764346930207,1.86740569897417
"2",2.08262375749485,1.83914907064269,2.06973214715104,1.8520406809865,1.88855637428663,0.00227005483428011,"PI",1.28571428571429,2,1.88410706681144,1.89300568176182
"3",2.10672334573194,1.85597854966528,2.09419039629114,1.86851149910607,1.90591104778388,0.00174721526890379,"PI",1.57142857142857,2,1.90248650585683,1.90933558971093
"4",2.11317051550371,1.85377106842355,2.10110439051132,1.86583719341593,1.91772848094684,0.00146183437216224,"PI",1.85714285714286,2,1.91486328557741,1.92059367631628
"5",2.11551786228262,1.84106316519577,2.10394466882575,1.85263635865264,1.92664256224263,0.00139747441343953,"PI",2.14285714285714,2,1.92390351239229,1.92938161209298
"6",2.13341622297113,1.83700262013293,2.12356218444594,1.84685665865812,1.93332105008672,0.00116455802465058,"PI",2.42857142857143,2,1.93103851635841,1.93560358381504
"7",2.13087561601212,1.81769994818058,2.12171199495618,1.82686356923652,1.93827329091983,0.000942806882530452,"PI",2.71428571428571,2,1.93642538943007,1.94012119240959
"8",2.15564259252599,1.80826256011903,2.14833212363265,1.81557302901238,1.94243365328008,0.000959742240748825,"PI",3,2,1.94055255848821,1.94431474807195
"9",2.19666926617125,1.80265801303074,2.193475402877,1.80585187632499,1.94586565581372,0.000904832035529693,"PI",3.28571428571429,2,1.94409218502408,1.94763912660335
"10",2.1950908751938,1.74439545692589,2.19608297116622,1.74340336095347,1.94864047612454,0.000705206467808855,"PI",3.57142857142857,2,1.94725827144764,1.95002268080145
"11",2.22824704753483,1.7419739977338,2.23228830613545,1.73793273913318,1.95067235264525,0.000745366945273255,"PI",3.85714285714286,2,1.94921143343251,1.95213327185798
"12",2.27282961331916,1.68317337259201,2.28797352860037,1.6680294573108,1.95239141598213,0.000665953158046376,"PI",4.14285714285714,2,1.95108614779236,1.9536966841719
"13",2.3274932775874,1.62587137779604,2.36783771278846,1.58552694259498,1.95379708639751,0.000799166931518443,"PI",4.42857142857143,2,1.95223071921174,1.95536345358329
"14",2.40033660942342,1.54775907174619,2.46450240238503,1.48359327878457,1.9550851080328,0.00066760506693943,"PI",4.71428571428571,2,1.9537766021016,1.956393613964
"15",2.42895823166685,1.46793223492199,2.52095106285224,1.3759394037366,1.95620863965401,0.000630068643455726,"PI",5,2,1.95497370511284,1.95744357419518
"16",2.00524807245561,1.76373371928826,1.99343231132366,1.77554948042021,1.60141239344924,0.00579361583780015,"PI",1,3,1.59005690640715,1.61276788049133
"17",2.02044224332475,1.77421433487015,2.00870424719387,1.78595233100103,1.65617531693878,0.00478583599771307,"PI",1.28571428571429,3,1.64679507838326,1.6655555554943
"18",2.04009821755943,1.78912534706604,2.02834162948513,1.80088193514034,1.69695032199204,0.00436738032900804,"PI",1.57142857142857,3,1.68839025654718,1.7055103874369
"19",2.04910266888065,1.78634557875112,2.03786073720773,1.79758751042404,1.72750078481404,0.0040118742313786,"PI",1.85714285714286,3,1.71963751132053,1.73536405830754
"20",2.07720113396459,1.80079191352733,2.06637031582228,1.81162273166965,1.75200000839534,0.00326539742287699,"PI",2.14285714285714,3,1.7455998294465,1.75840018734417
"21",2.07659045550904,1.78194731088825,2.0671062112024,1.7914315551949,1.76907517789227,0.00312509142829456,"PI",2.42857142857143,3,1.76294999869281,1.77520035709172
"22",2.11260402941635,1.79427292396679,2.10354666256413,1.80333029081901,1.7852398102205,0.00335326964505959,"PI",2.71428571428571,3,1.77866740171618,1.79181221872481
"23",2.13392298616256,1.76009209138112,2.13042730163285,1.76358777591083,1.79698320221345,0.00289923920771009,"PI",3,3,1.79130069336634,1.80266571106057
"24",2.13851223028846,1.73888692879083,2.13671676650872,1.74068239257058,1.80718230672798,0.00272746347159395,"PI",3.28571428571429,3,1.80183647832366,1.81252813513231
"25",2.21123040721433,1.72857457981336,2.21555657015957,1.72424841686812,1.81512825321567,0.00304510377279712,"PI",3.57142857142857,3,1.80915984982098,1.82109665661035
"26",2.23872949274573,1.68734135750903,2.25511397459949,1.67095687565527,1.82168477343337,0.00262082626958565,"PI",3.85714285714286,3,1.81654795394498,1.82682159292176
"27",2.26498392575067,1.59023304846632,2.29045094006276,1.56476603415424,1.82745452627064,0.00274111860509134,"PI",4.14285714285714,3,1.82208193380466,1.83282711873662
"28",2.33104993994565,1.63268256417198,2.35645314833464,1.60727935578299,1.83181027513096,0.00234046356470006,"PI",4.42857142857143,3,1.82722296654415,1.83639758371778
"29",2.30772232124583,1.57945767874094,2.33627603257237,1.5509039674144,1.83566930373115,0.00197390324496353,"PI",4.71428571428571,3,1.83180045337102,1.83953815409127
"30",2.35009172672319,1.51504446292062,2.40058229313975,1.46455389650407,1.83853925155857,0.00217028987801881,"PI",5,3,1.83428548339765,1.84279301971949
"31",2.0290440612842,1.76651595978703,2.01823548450393,1.77732453656729,1.42400465052842,0.00749322054055236,"PI",1,4,1.40931793826894,1.4386913627879
"32",2.04972906249991,1.78671980019666,2.03844316973907,1.7980056929575,1.48312542464339,0.00721328811082981,"PI",1.28571428571429,4,1.46898737994616,1.49726346934062
"33",2.06154896928856,1.79433797043873,2.05044005623236,1.80544688349494,1.52933103704752,0.00572179383655373,"PI",1.57142857142857,4,1.51811632112788,1.54054575296717
"34",2.07335899230187,1.7982260667227,2.06274716516665,1.80883789385791,1.56634625541087,0.00687529230438569,"PI",1.85714285714286,4,1.55287068249427,1.57982182832746
"35",2.0930603249351,1.80211627740722,2.08343419206523,1.81174241027709,1.59603265718107,0.00581638733436837,"PI",2.14285714285714,4,1.58463253800571,1.60743277635643
"36",2.10457616077806,1.79891384340231,2.09510019327166,1.80838981090871,1.62131297544405,0.00576454405952946,"PI",2.42857142857143,4,1.61001446908737,1.63261148180073
"37",2.13687529945235,1.79928159814977,2.12899771881112,1.80715917879101,1.64100538769661,0.00536187462018221,"PI",2.71428571428571,4,1.63049611344106,1.65151466195217
